,,,0
INDPRO,t12,TPC2,2.0467279123127535
INDPRO,t12,PC2,2.9935243114537844
INDPRO,t12,LAPC,1.564550597672534
INDPRO,t24,PC,1.641900655132332
INDPRO,t24,TPC,1.5869930921013904
INDPRO,t24,TSPC,1.617995137650068
INDPRO,t24,TPC2,1.8033941495504149
INDPRO,t24,PC2,2.085328264357926
INDPRO,t24,LAPC,1.5307305640785187
IPFPNSS,t1,PC,1.5434204278137729
IPFPNSS,t1,TPC,1.4995673025852168
IPFPNSS,t1,TSPC,1.5748334267407398
IPFPNSS,t1,TPC2,1.605899188887738
IPFPNSS,t1,PC2,1.5201194179439155
IPFPNSS,t1,LAPC,1.608403154090019
IPFPNSS,t6,PC,1.5862032868605724
IPFPNSS,t6,TPC,1.6010868938790073
IPFPNSS,t6,TSPC,1.8443812424523778
IPFPNSS,t6,TPC2,2.796648890543694
IPFPNSS,t6,PC2,1.9333022374306112
IPFPNSS,t6,LAPC,1.574357947315227
IPFPNSS,t12,PC,1.6961266391879821
IPFPNSS,t12,TPC,1.6637587641121898
IPFPNSS,t12,TSPC,1.891233440424654
IPFPNSS,t12,TPC2,2.069086158134923
IPFPNSS,t12,PC2,3.2306070968676726
IPFPNSS,t12,LAPC,1.6193998619614394
IPFPNSS,t24,PC,1.6883023663078909
IPFPNSS,t24,TPC,1.584331190518786
IPFPNSS,t24,TSPC,1.7165794425792236
IPFPNSS,t24,TPC2,2.680110414429499
IPFPNSS,t24,PC2,2.355158417147096
IPFPNSS,t24,LAPC,1.6442703367434428
IPFINAL,t1,PC,1.9445291822528956
IPFINAL,t1,TPC,1.7890882933320793
IPFINAL,t1,TSPC,1.7790726904799763
IPFINAL,t1,TPC2,1.6911224779234937
IPFINAL,t1,PC2,1.6410355587695107
IPFINAL,t1,LAPC,1.723562492002607
IPFINAL,t6,PC,1.7162878330833595
IPFINAL,t6,TPC,1.7081754556158995
IPFINAL,t6,TSPC,1.984243315180539
IPFINAL,t6,TPC2,2.278048322747615
IPFINAL,t6,PC2,2.2960542874243375
IPFINAL,t6,LAPC,1.6854992469582104
IPFINAL,t12,PC,2.0692229549356265
IPFINAL,t12,TPC,1.822729193857285
IPFINAL,t12,TSPC,1.958965316423553
IPFINAL,t12,TPC2,2.288466092344413
IPFINAL,t12,PC2,4.229572274512368
IPFINAL,t12,LAPC,1.7646074168788923
IPFINAL,t24,PC,1.8955934676607447
IPFINAL,t24,TPC,1.7736298848403147
IPFINAL,t24,TSPC,1.8644856463986408
IPFINAL,t24,TPC2,3.1645460142039714
IPFINAL,t24,PC2,2.6871431432741457
IPFINAL,t24,LAPC,1.7662414595116094
IPCONGD,t1,PC,1.5867838732089812
IPCONGD,t1,TPC,1.6064795659153193
IPCONGD,t1,TSPC,1.6507327871368354
IPCONGD,t1,TPC2,1.56853465827439
IPCONGD,t1,PC2,1.4957134099612366
IPCONGD,t1,LAPC,1.5638497617650824
IPCONGD,t6,PC,1.5149190437694504
IPCONGD,t6,TPC,1.6268023476268934
IPCONGD,t6,TSPC,1.6451897578182837
IPCONGD,t6,TPC2,2.6097953076784393
IPCONGD,t6,PC2,2.2099908137034032
IPCONGD,t6,LAPC,1.5051792133067428
IPCONGD,t12,PC,1.7289578053082046
IPCONGD,t12,TPC,1.8697431809748846
IPCONGD,t12,TSPC,1.6909406071575857
IPCONGD,t12,TPC2,2.4029756721722313
IPCONGD,t12,PC2,3.3601613294557984
IPCONGD,t12,LAPC,1.5797702108209635
IPCONGD,t24,PC,1.5057645619805093
IPCONGD,t24,TPC,1.5480876231875715
IPCONGD,t24,TSPC,1.550542568930579
IPCONGD,t24,TPC2,3.581570474629849
IPCONGD,t24,PC2,2.835636046614392
IPCONGD,t24,LAPC,1.4704681915453934
IPDCONGD,t1,PC,5.206196191073557
IPDCONGD,t1,TPC,5.239040393345963
IPDCONGD,t1,TSPC,5.562827143374554
IPDCONGD,t1,TPC2,6.1448242154783905
IPDCONGD,t1,PC2,5.295182816259943
IPDCONGD,t1,LAPC,5.334515010158535
IPDCONGD,t6,PC,5.821824413689827
IPDCONGD,t6,TPC,5.632299546521615
IPDCONGD,t6,TSPC,5.839219224592363
IPDCONGD,t6,TPC2,5.957293784729558
IPDCONGD,t6,PC2,7.8951962239789415
IPDCONGD,t6,LAPC,5.452177537752839
IPDCONGD,t12,PC,5.904921545194691
IPDCONGD,t12,TPC,5.888514830525922
