,,Symmetric,Asymmetric
Forecasting Horizon 1,TB6SMFFM,0.14641120698683124,0.15698239312159876
Forecasting Horizon 1,T1YFFM,0.16430419224711745,0.1746400216741786
Forecasting Horizon 1,T5YFFM,0.2679527149299938,0.3709157619366276
Forecasting Horizon 1,T10YFFM,0.2930727017442367,0.41786377084898396
Forecasting Horizon 1,AAAFFM,0.33493471180850254,0.4520870629727439
Forecasting Horizon 1,BAAFFM,0.4077926037375334,0.5406453654125475
Forecasting Horizon 1,TWEXAFEGSMTHx,0.015228532873333074,0.0165519811777055
Forecasting Horizon 1,EXSZUSx,0.022189023447522434,0.02413893842011958
Forecasting Horizon 1,EXJPUSx,0.021975629251135047,0.022712836463438423
Forecasting Horizon 1,EXUSUKx,0.021559951900298358,0.02304892678435172
Forecasting Horizon 1,EXCAUSx,0.018788823256721376,0.0192487408535391
Forecasting Horizon 1,WPSFD49207,0.0,0.0
Forecasting Horizon 1,WPSFD49502,0.0,0.0
Forecasting Horizon 1,WPSID61,0.0,0.0
Forecasting Horizon 1,WPSID62,0.0,0.0
Forecasting Horizon 1,OILPRICEx,0.0,0.0
Forecasting Horizon 1,PPICMM,0.0,0.0
Forecasting Horizon 1,CPIAUCSL,0.0,0.0
Forecasting Horizon 1,CPIAPPSL,0.0,0.0
Forecasting Horizon 1,CPITRNSL,0.0,0.0
Forecasting Horizon 1,CPIMEDSL,0.0,0.0
Forecasting Horizon 1,CUSR0000SAC,0.0,0.0
Forecasting Horizon 1,CUSR0000SAD,0.0,0.0
Forecasting Horizon 1,CUSR0000SAS,0.0,0.0
Forecasting Horizon 1,CPIULFSL,0.0,0.0
Forecasting Horizon 1,CUSR0000SA0L2,0.0,0.0
Forecasting Horizon 1,CUSR0000SA0L5,0.0,0.0
Forecasting Horizon 1,PCEPI,0.0,0.0
Forecasting Horizon 1,DDURRG3M086SBEA,0.0,0.0
Forecasting Horizon 1,DNDGRG3M086SBEA,0.0,0.0
Forecasting Horizon 1,DSERRG3M086SBEA,0.0,0.0
Forecasting Horizon 1,CES0600000008,0.0,0.0
Forecasting Horizon 1,CES2000000008,0.0,0.0
Forecasting Horizon 1,CES3000000008,0.0,0.0
Forecasting Horizon 1,UMCSENTx,4.448132823178585,4.595970552275925
Forecasting Horizon 1,DTCOLNVHFNM,0.0,0.0
Forecasting Horizon 1,DTCTHFNM,0.0,0.0
Forecasting Horizon 1,INVEST,0.0,0.0
Forecasting Horizon 1,VIXCLSx,4.98926959723752,5.354553506483741
Forecasting Horizon 6,RPI,0.004382758222820448,0.004614551309568597
Forecasting Horizon 6,W875RX1,0.00321270382559183,0.003760467859123759
Forecasting Horizon 6,DPCERA3M086SBEA,0.003879680684763035,0.004102777404355314
Forecasting Horizon 6,CMRMTSPLx,0.005574615923464466,0.005575367291742624
Forecasting Horizon 6,RETAILx,0.007343113091365997,0.007737068652987059
Forecasting Horizon 6,INDPRO,0.006118115547433305,0.005952454002261866
Forecasting Horizon 6,IPFPNSS,0.00576017383829558,0.005775668199871657
Forecasting Horizon 6,IPFINAL,0.005726479994698358,0.005886063670181766
Forecasting Horizon 6,IPCONGD,0.004676535494188644,0.005098022249284605
Forecasting Horizon 6,IPDCONGD,0.016870639037090532,0.017916543757983034
